"Document","Motif","Probability","Overlap Score","Precursor Mass","Retention Time","Document Annotation"
"document_185","motif_253","0.104","0.423","701.6160","None","None"
"document_185","motif_192","0.061","0.590","701.6160","None","None"
"document_1850","motif_197","0.863","0.420","456.2275","None","None"
"document_1850","motif_339","0.053","0.335","456.2275","None","None"
"document_1850","motif_284","0.051","0.380","456.2275","None","None"
"document_1851","motif_7","0.565","0.717","422.3457","None","None"
"document_1851","motif_71","0.131","0.783","422.3457","None","None"
"document_1851","motif_334","0.087","0.345","422.3457","None","None"
"document_1851","motif_202","0.080","0.602","422.3457","None","None"
"document_1851","motif_354","0.060","0.404","422.3457","None","None"
"document_1852","motif_86","0.589","0.062","642.4337","None","None"
"document_1852","motif_83","0.310","0.073","642.4337","None","None"
"document_1852","motif_134","0.100","0.106","642.4337","None","None"
"document_1853","motif_86","0.589","0.062","642.4337","None","None"
"document_1853","motif_83","0.310","0.073","642.4337","None","None"
"document_1853","motif_134","0.100","0.106","642.4337","None","None"
"document_1854","motif_116","0.635","0.262","522.3762","None","None"
"document_1854","motif_336","0.104","0.531","522.3762","None","None"
"document_1854","motif_217","0.089","0.349","522.3762","None","None"
"document_1854","motif_82","0.084","0.127","522.3762","None","None"
"document_1855","motif_71","0.559","0.838","798.4488","None","None"
"document_1855","motif_198","0.252","0.661","798.4488","None","None"
"document_1855","motif_202","0.113","0.833","798.4488","None","None"
"document_1856","motif_343","0.740","0.137","393.2154","None","None"
"document_1856","motif_152","0.108","0.556","393.2154","None","None"
"document_1856","motif_54","0.086","0.418","393.2154","None","None"
"document_1857","motif_71","0.519","0.859","754.4278","None","None"
"document_1857","motif_198","0.262","0.688","754.4278","None","None"
"document_1857","motif_202","0.125","0.906","754.4278","None","None"
"document_1858","motif_322","0.659","0.880","569.4071","None","None"
"document_1858","motif_8","0.204","0.150","569.4071","None","None"
"document_1858","motif_172","0.057","0.027","569.4071","None","None"
"document_1859","motif_220","0.472","0.731","488.3923","None","None"
"document_1859","motif_225","0.269","0.031","488.3923","None","None"
"document_1859","motif_65","0.156","0.231","488.3923","None","None"
"document_1859","motif_394","0.055","0.191","488.3923","None","None"
"document_186","motif_366","0.753","0.058","519.1362","None","None"
"document_186","motif_316","0.130","0.435","519.1362","None","None"
"document_186","motif_126","0.117","0.552","519.1362","None","None"
"document_1860","motif_71","0.999","0.842","752.4241","None","None"
"document_1861","motif_211","0.579","0.725","708.5084","None","None"
"document_1861","motif_170","0.301","0.464","708.5084","None","None"
"document_1861","motif_117","0.113","0.649","708.5084","None","None"
"document_1862","motif_291","0.722","0.119","411.1700","None","None"
"document_1862","motif_385","0.261","0.097","411.1700","None","None"
"document_1863","motif_138","1.000","0.059","934.6363","None","None"
"document_1864","motif_314","0.999","0.055","278.2076","None","None"
"document_1865","motif_376","0.940","0.068","376.2616","None","None"
"document_1866","motif_26","0.883","0.791","852.2256","None","None"
"document_1866","motif_119","0.111","0.462","852.2256","None","None"
"document_1867","motif_355","0.728","0.173","344.2781","None","None"
"document_1867","motif_378","0.067","0.615","344.2781","None","None"
"document_1867","motif_10","0.054","0.644","344.2781","None","None"
"document_1868","motif_261","0.676","0.179","272.2569","None","None"
"document_1868","motif_47","0.106","0.923","272.2569","None","None"
"document_1868","motif_322","0.069","0.792","272.2569","None","None"
"document_1868","motif_113","0.051","0.144","272.2569","None","None"
"document_1869","motif_267","0.758","0.381","349.3046","None","None"
"document_1869","motif_378","0.200","0.796","349.3046","None","None"
"document_187","motif_202","0.570","0.919","466.4080","None","None"
"document_187","motif_335","0.211","0.315","466.4080","None","None"
"document_187","motif_230","0.084","0.807","466.4080","None","None"
"document_187","motif_47","0.079","0.918","466.4080","None","None"
"document_1870","motif_243","1.000","0.161","557.2172","None","None"
"document_1871","motif_71","0.476","0.846","842.4802","None","None"
"document_1871","motif_198","0.222","0.667","842.4802","None","None"
"document_1871","motif_83","0.146","0.188","842.4802","None","None"
"document_1871","motif_202","0.101","0.809","842.4802","None","None"
"document_1872","motif_26","0.915","0.817","854.2054","None","None"
